Transcript,Male_EDL1,Male_EDL2,Male_EDL3,Male_EDL4,Male_EDL5,Male_EDL6,Female_EDL1,Female_EDL2,Female_EDL3,Female_EDL4,Female_EDL5,Female_EDL6,Male_SOL1,Male_SOL2,Male_SOL3,Male_SOL4,Male_SOL5,Male_SOL6,Female_SOL1,Female_SOL2,Female_SOL3,Female_SOL4,Female_SOL5,Female_SOL6
"NM_001106217(refseq),+transcript",7.605895274,7.011647229,7.642554407,8.212533988,9.527478155,7.62862736,9.095555147,10.74909401,5.440251077,7.434402755,9.415936236,8.592514592,5.997606433,6.932613949,8.746981827,8.402303139,7.059703771,6.847074434,8.808942085,6.387508374,7.775514729,8.270490603,8.774616507,7.508102594
"NM_001128191(refseq),+transcript",6.048487837,5.359174496,7.293203865,7.726108349,6.855011223,7.17358643,5.819540454,6.561126877,3.823619072,4.564365079,8.693997519,7.413991655,7.302631952,6.620897002,9.631169113,8.497824392,7.697113149,7.765882672,9.795117926,7.831655749,9.094012928,8.084594356,7.800936148,9.341689969
"ENSRNOT00000073528(ensembl),+transcript",6.113741232,5.416991316,7.371885732,7.809460555,6.928965701,7.250977819,5.882323878,6.631910818,3.864869734,4.613607192,8.787791683,7.493976627,7.381415534,6.692325767,9.735073842,8.589502166,7.780152544,7.849663979,9.900791397,7.91614664,9.192122611,8.171814046,7.885095625,9.442471687
"NM_001134543(refseq),+transcript",4.518162864,4.865743911,5.974982304,5.48008982,5.989281528,6.061159241,6.022146514,6.51799313,3.931013862,4.18373297,7.208787201,6.43365591,4.677093887,5.127215077,5.397557674,6.853776555,6.700555607,6.09145887,6.388698165,6.759414584,7.702182281,7.429202295,7.066006367,7.494375877
"ENSRNOT00000020098(ensembl),+transcript",3.476841508,3.867044845,3.919078874,3.554951114,3.605318962,3.704133046,4.06043776,3.300955441,2.250538553,2.141817031,3.777958436,4.043051075,4.938551254,4.837349182,4.636770723,5.185851809,4.997545929,4.438102385,4.472899732,4.685606003,4.142474809,4.497815764,3.497415414,4.594963181
"ENSRNOT00000020417(ensembl),+transcript",9.582883363,9.527008096,9.895162702,10.3472047,9.401575485,9.293588527,8.165251363,9.110905538,5.650625833,7.053211357,8.171216631,8.636822465,8.991275553,9.828776601,10.43940146,10.19877932,9.156831188,10.33561918,8.550945339,9.603925777,9.379581343,8.975013328,10.11696286,10.15849585
"ENSRNOT00000019623(ensembl),-transcript",83.3903413,84.16822363,75.64347149,73.09377601,64.47904725,65.85216565,72.11968999,66.01612561,42.83883401,42.44922577,62.12101564,67.55830716,88.72992468,68.53641988,80.61189881,68.37263724,68.49258875,65.68476657,71.45868867,64.75798451,62.33910655,64.03681583,55.95876036,66.71771224
"NM_001004217(refseq),+transcript",9.577661083,9.521816266,9.889770242,10.34156589,9.396452011,9.288523901,8.160801634,9.105940467,5.647546473,7.049367646,8.166763652,8.63211575,8.986375676,9.823420319,10.43371241,10.1932214,9.15184109,10.32998669,8.546285423,9.59869203,9.374469854,8.970122313,10.11144953,10.15295989
"NM_001108457(refseq)::::ENSRNOT00000021437(ensembl),+transcript",7.063401444,7.711032319,9.709809509,8.617651131,7.221881771,9.12286302,9.57113018,9.999892479,6.300133914,5.917834889,10.92595503,9.561330272,7.349474832,9.109286312,10.26433493,11.62444956,11.84112082,10.23729466,9.458865476,10.06371989,10.87984664,10.85985658,11.02202642,10.78493188
"ENSRNOT00000020810(ensembl),-transcript",92.94934804,96.26290793,99.98924248,122.2147438,114.2040659,119.6873457,120.6514612,149.8367809,77.98935015,87.42371768,126.6313402,110.7626962,70.09412005,86.23185587,83.67393442,96.63469361,99.5560653,98.98247528,86.67298161,87.37701324,87.8710949,84.89415094,97.47727388,76.82574615
"NM_001012062(refseq),-transcript",66.53437588,65.80454971,55.66353594,54.60149989,53.66968178,51.3566777,61.54347741,57.91137474,39.94153245,43.52220597,61.85807685,54.2898368,34.95660687,32.79464774,34.64282842,38.70043902,32.56627731,34.16829702,34.57414309,30.79592864,31.51543526,31.17227437,27.89823902,31.81508642
"ENSRNOT00000021905(ensembl),-transcript",84.3885326,83.63228028,70.10335165,68.96221677,67.42981168,64.18239336,77.70756932,72.22888361,49.98568368,54.55988429,76.98632178,67.83116675,44.69130473,41.8544184,44.16909421,49.02154172,41.29801683,43.39036478,43.79895,38.73107232,39.17034291,39.01352428,34.51773321,39.78988203
"ENSRNOT00000061999(ensembl),-transcript",66.07388102,65.47128939,54.88020663,53.98687249,52.79575177,50.28276551,60.86599377,56.5441732,39.14035129,42.71204804,60.26851994,53.14472833,34.986459,32.76561072,34.577648,38.37637254,32.33003336,33.97632096,34.28788168,30.32968516,30.69199896,30.55756526,27.04894215,31.1779718
"NM_001108458(refseq)::::ENSRNOT00000022003(ensembl),-transcript",0.111913323,0.268180479,0.221664021,0.332308402,0.315910575,0.200076786,0.203032146,0.17588991,0.219412097,0.253359158,0.215894247,0.430089342,0.348423208,0.49614296,0.159577728,0.15035372,0.118423109,0.329767987,0.514409459,0.097240045,0.073137366,0.190019369,0.023695028,0.656090765
"ENSRNOT00000035749(ensembl),-transcript",0,0,0.061164627,0,0,0,0,0,0,0,0,0.055382249,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000017688(ensembl),-transcript",2.115653526,3.004319633,1.847629606,2.058776612,2.81225775,2.054599205,2.206795564,0.952372067,1.058299862,1.054500698,1.007740708,1.860329848,2.809976523,2.251542297,1.2875596,1.874845471,1.790973665,1.385347532,1.898040487,0.658143939,0.944504178,1.143197019,0.508771511,1.507676893
"NM_001108901(refseq)::::ENSRNOT00000034744(ensembl),-transcript",0.1160258,0.714947923,0.481505632,0.521999599,0.499077085,0.881573272,0.781831016,0.291765335,0.505499623,0.248076603,0.348176438,0.317080057,0.200681506,0.247661902,0.299370748,0.475059099,0.392879364,0.410263161,0.660291614,0.26883553,0.85934936,0.773415291,0.540446468,0.470907778
"ENSRNOT00000013741(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084642909,0,0,0,0,0,0
"ENSRNOT00000044778(ensembl),-transcript",3.279536016,4.560382944,3.985179027,3.445031988,3.762470405,4.783653464,4.506753152,3.324337876,3.367150606,2.340540107,3.678266888,3.439079758,4.854500469,5.61026328,4.89898691,5.025673467,4.379572922,4.454746475,5.208424876,4.020290575,4.68521285,4.613933572,3.520269175,4.585867135
"ENSRNOT00000049699(ensembl),-transcript",3.220619881,4.493607599,3.935099979,3.424804057,3.689615753,4.721808347,4.476965741,3.297790987,3.369698655,2.365931838,3.718364066,3.375552984,4.760224306,5.528482053,4.8109777,4.982433547,4.347727263,4.447837977,5.222906539,3.996135947,4.634664396,4.639804071,3.554098064,4.522162271
"NM_030843(refseq)::::ENSRNOT00000040559(ensembl),-transcript",3.273595871,4.568498811,4.031607693,3.466980196,3.783297458,4.753738963,4.511895143,3.311715157,3.409851067,2.366236385,3.774578268,3.457661381,4.833397611,5.597515291,4.885003657,5.064827297,4.427568265,4.474410704,5.271007656,3.999576267,4.699474227,4.618893423,3.590349102,4.581507037
"NM_178345(refseq),-transcript",3.466182731,4.879770475,4.049119542,3.366874776,3.772295573,4.815573198,4.632357898,3.272976128,3.384173107,2.510634951,3.938608453,3.566463125,5.075460979,5.897026676,4.967966483,5.215143573,4.466177415,4.583123556,5.53319292,4.112390863,4.82760178,4.800670179,3.548575289,4.720725303
"NM_178346(refseq),-transcript",3.545642977,4.975026506,4.112097889,3.387302852,3.859907546,4.891081657,4.674037312,3.302253114,3.381945662,2.488460382,3.903193527,3.64858256,5.198867262,6.008658762,5.076554393,5.275990153,4.508439516,4.597571979,5.531519888,4.145718822,4.894921353,4.778724804,3.509477728,4.803417892
"ENSRNOT00000061954(ensembl),-transcript",0,0.013401237,0.011076765,0.052836545,0.023679534,0,0.010145712,0,0,0.007385351,0.025173035,0.02005918,0.013541923,0.019283244,0,0.00751332,0.049708822,0.015380236,0,0.034014252,0.008527738,0.014770702,0.016576887,0.017653724
"ENSRNOT00000061956(ensembl),-transcript",0,0.013401237,0.011076765,0.052836545,0.023679534,0,0.010145712,0,0,0.007385351,0.025173035,0.02005918,0.013541923,0.019283244,0,0.00751332,0.049708822,0.015380236,0,0.034014252,0.008527738,0.014770702,0.016576887,0.017653724
"NM_001108902(refseq),-transcript",1.722161588,1.561512917,2.028188294,1.708747648,1.426494496,2.267532878,1.254557261,1.58010178,1.236995937,1.387403648,2.394419199,2.504246641,1.465198083,2.934706526,1.725583623,2.626357568,2.836934603,2.157841897,2.485821052,2.062555823,2.33204152,2.318193438,0.847512389,3.211459038
"ENSRNOT00000019121(ensembl),-transcript",1.728007917,1.566813882,2.035073512,1.71454844,1.431337105,2.275230614,1.258816185,1.58546585,1.220847781,1.392113554,2.372515837,2.512747963,1.470172082,2.944669157,1.712414739,2.635273428,2.846565322,2.165167257,2.494259824,2.06955771,2.339958247,2.326063153,0.850389492,3.222361178
"NM_001114330(refseq),-transcript",0.006982411,0,0,0,0,0,0,0,0,0,0,0,0,0.006878883,0.119475031,0.042883453,0.005910852,0.005486569,0.061132657,0.030334636,0.146020193,0.121190008,0.04730759,0.018892762
"NM_017011(refseq),-transcript",0.00706955,0,0,0,0,0,0,0,0,0,0,0,0,0.006964731,0.120966057,0.04341863,0.005984618,0.00555504,0.061895581,0.030713206,0.147842497,0.122702437,0.04789798,0.01912854
"ENSRNOT00000019319(ensembl),-transcript",0.007066438,0,0,0,0,0,0,0,0,0,0,0,0,0.006961664,0.120912799,0.043399514,0.005981983,0.005552595,0.06186833,0.030699684,0.147777407,0.122648414,0.047876892,0.019120118
"ENSRNOT00000044325(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063897922,0.012040891,0.013277275,0.012324228,0.041195844,0.027255719,0.081999613,0,0.039849325,0.014145981
"ENSRNOT00000063319(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM_001107469(refseq)::::ENSRNOT00000065646(ensembl),+transcript",0.247863298,0.2858156,0.251005313,0.366234127,0.452419597,0.244885367,0.189335315,0.442865156,0.250079196,0.236267196,0.285217104,0.334229096,0.31589259,0.873936879,0.265736415,0.310466437,0.364432599,0.369025655,0.308382866,0.306045325,0.215977487,0.187044864,0.209917017,0.400042671
"ENSRNOT00000019893(ensembl),+transcript",2.718629117,2.85563581,3.583323916,3.47053627,3.169591591,3.525270175,3.196508389,3.53936458,2.614782786,2.524193825,3.540632735,4.083918385,2.65705068,2.671539623,2.871278168,3.455611866,3.350158596,3.574783652,3.567322948,3.438619125,3.838213264,3.76551548,3.876233539,3.61901348
"NM_001107470(refseq),+transcript",2.715136231,2.851966899,3.578720074,3.466077336,3.165519311,3.52074092,3.192401526,3.534817216,2.611423322,2.520950749,3.536083742,4.078671381,2.65363691,2.668107238,2.86758916,3.451172108,3.345854324,3.570190782,3.562739664,3.434201199,3.83328194,3.760677558,3.871253367,3.614363784
"ENSRNOT00000019918(ensembl),+transcript",6.277915023,5.203157771,8.465329404,7.654344212,6.35935082,8.565342749,7.006427479,8.686525659,6.294778996,5.644195605,10.83602587,8.773232304,6.348821724,6.924645321,7.880929781,8.762884417,8.772692279,9.511951524,8.139498598,11.18364401,13.20464035,12.82977796,13.55912852,13.30207575
"NM_001007690(refseq),+transcript",6.274001111,5.199913907,8.460051767,7.649572176,6.355386138,8.56000276,7.002059382,8.681110119,6.290854571,5.64067678,10.82927024,8.767762708,6.344863606,6.92032821,7.876016483,8.757421272,8.767223019,9.506021379,8.134424098,11.17667166,13.19640803,12.82177935,13.55067519,13.29378268
"NM_001276762(refseq),+transcript",7.631591929,9.353171601,9.591973955,9.15080838,5.576924212,7.462539999,8.698304521,7.209822911,5.363961853,4.77266978,7.537362214,9.549364291,10.64736643,7.850745502,11.9555139,10.00205837,9.886919275,9.54167211,7.715262448,7.656780773,7.090716696,8.177174223,8.284379234,8.252111299
"ENSRNOT00000061930(ensembl),+transcript",15.1247584,20.76391989,20.04108338,18.97258058,14.20275531,16.88685386,17.672194,17.2835667,12.06248476,11.89708542,19.90111138,18.08674826,15.35359178,11.82093946,20.97717261,20.7782086,19.8382296,19.95511191,15.94489557,18.52322874,17.03635646,16.68815308,17.23247639,15.46252695
"ENSRNOT00000019345(ensembl),-transcript",0,0.117529565,0,0,0,0,0,0,0.074788714,0,0,0.087960042,0.059381693,0,0,0,0,0.067442746,0.30058524,0.074576701,0,0.129539843,0,0
"ENSRNOT00000016273(ensembl),-transcript",2.54134979,2.956409284,3.390514413,2.816896107,3.497094441,3.542230534,2.909682175,2.216925958,1.73626489,1.615684329,2.198202082,3.143735465,4.381586836,3.478549469,2.898978006,3.435843851,3.103260691,2.993607397,3.623027892,2.50126285,2.234020288,2.274177522,1.622785124,3.387437186
"NM_013070(refseq),-transcript",2.54277498,2.951904599,3.382228379,2.818475823,3.499055612,3.544217017,2.911313925,2.21816921,1.733317056,1.613194206,2.199434833,3.145498472,4.380930363,3.48050024,2.896936745,3.437770673,3.101191182,2.991749865,3.625059686,2.498755144,2.227430063,2.272056682,1.623695182,3.385277775
"NM_001025638(refseq),-transcript",0.221892659,0.405124954,0.279045995,0.186348244,0.338036562,0.264464016,0.306709083,0.247993065,0.171864695,0.093025924,0.253663765,0.25266556,0.2388038,0.267181043,0.120532486,0.397478883,0.313066313,0.290594319,0.539645161,0.428443721,0.236313956,0.223262218,0.459365662,0.378022913
"ENSRNOT00000031713(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM_001126092(refseq),+transcript",5.875331721,5.086079582,3.821716891,3.500106146,2.941177456,3.742740746,2.170300145,1.783124052,1.059209589,0.662506363,1.215931741,2.83754409,7.802654579,5.788218561,3.13646492,2.021957795,2.744094293,3.873748622,3.074569648,2.523160959,1.353434475,2.140405174,1.372649962,2.009999072
"ENSRNOT00000019994(ensembl),+transcript",6.151411919,5.325073043,4.001298302,3.664575158,3.079382565,3.91861109,2.272281943,1.866912553,1.108981553,0.693637352,1.273068035,2.970879495,8.169299141,6.060205336,3.283846531,2.116969028,2.873038518,4.055774989,3.219042818,2.641723589,1.417031984,2.240982216,1.4371504,2.104448367
"ENSRNOT00000020018(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0.067664667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000054432(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000030329(ensembl),+transcript",0.405276493,0.449250287,0.415012415,0.166705122,0.233473561,0.379524412,0.400135498,0.291180635,0.168162199,0.21845246,0.198559251,0.178000102,0.680949752,0.779522232,0.393119482,0.251869384,0.408429198,0.454934433,0.692761635,0.301833879,0.369956839,0.436904921,0.212476495,0.487370152
"ENSRNOT00000019983(ensembl),-transcript",0.267834588,0.407503623,0.336821279,0.224930853,0.408025591,0.319220163,0.370211891,0.261921601,0.207448548,0.112286545,0.306183765,0.304978886,0.267658029,0.322499738,0.121240186,0.434082315,0.377885358,0.350760634,0.65137639,0.517151167,0.285241753,0.247030399,0.554475363,0.456290946
"NM_001271310(refseq),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM_012760(refseq),+transcript",1.062513025,1.087796844,1.270001684,0.643322253,0.792866391,1.224939073,1.461785992,0.911428216,0.847955029,0.989140487,1.136602252,1.190644113,1.016775262,1.340243106,0.970921617,1.021526467,1.302947261,1.068972389,2.503864515,1.104393434,1.661299649,1.708515387,0.714833393,1.558362579
"ENSRNOT00000066725(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NM_001014157(refseq),-transcript",14.95590144,18.13571602,16.76851781,18.84528062,19.19090994,17.6580589,22.80585793,17.0404728,13.47203629,12.78956833,20.31710388,18.51897201,24.48010313,30.98871215,28.03033546,27.29331833,27.29292415,28.59702118,31.49497467,26.72140572,29.2423873,28.7130044,28.96840026,32.7988914
"ENSRNOT00000020453(ensembl),-transcript",14.99084514,18.17808919,16.80769659,18.88931165,19.23574851,17.69931605,22.85914265,17.08028699,13.50351301,12.8194505,20.36457375,18.56224064,24.53729963,31.06111568,28.0958269,27.35708776,27.35669266,28.66383665,31.56856106,26.78383891,29.31071064,28.78009086,29.03608344,32.87552433
"ENSRNOT00000048754(ensembl),-transcript",3.798555782,3.919415125,3.602902367,2.975049714,3.516673897,4.184592084,3.549646459,2.892529117,2.517388124,2.018662551,3.818749436,4.304031476,6.366509295,5.297107066,5.340091369,5.113565828,4.189349048,4.876560138,4.707540598,4.346454443,4.475356665,5.107216255,3.964638865,5.114872386
"ENSRNOT00000056227(ensembl),+transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000020946(ensembl),+transcript",11.33842384,11.11942741,10.85868884,9.482460171,11.0609011,9.785829334,11.97257394,10.20996434,7.573653632,7.671169871,10.01795605,11.28075182,9.280234849,7.49625563,7.596708649,7.98880418,7.459738636,7.39692321,7.978510452,7.212466029,6.420571418,7.603082564,5.858340288,6.645783655
"NM_214458(refseq),-transcript",3.849887616,3.972380195,3.651590237,3.015253088,3.564196517,4.241140626,3.597614654,2.931617348,2.551406883,2.045941775,3.870354158,4.362194064,6.452543204,5.368689594,5.412254766,5.182668069,4.245961873,4.942459599,4.771156011,4.405190313,4.535834458,5.176232691,4.018215066,5.183992283
"NM_031350(refseq),-transcript",8.369703871,8.425100516,10.93900722,12.21106397,10.6076472,10.10907886,10.22612194,11.36911251,8.378270529,6.165640819,10.28356904,10.28777562,10.85735743,11.36224987,13.72050039,12.67881554,14.0439637,11.78318623,11.92960308,11.83917671,14.88987975,12.83881915,12.40462279,11.34569151
"NM_001004218(refseq),+transcript",11.33134618,11.11248644,10.85191063,9.476541032,11.05399667,9.779720826,11.96510042,10.20359108,7.568926008,7.666381375,10.01170264,11.27371016,9.274441944,7.49157632,7.591966634,7.983817411,7.45508212,7.392305904,7.973530108,7.207963866,6.416563571,7.59833657,5.854683396,6.641635226
"NM_001115028(refseq),+transcript",1.443589864,1.466618939,1.897404819,1.860418686,1.990546509,1.248786806,1.834470335,1.463764678,1.257882525,0.983951572,1.497235651,1.145352042,1.610886365,1.330431926,2.086878955,2.073502025,1.695099672,0.987964478,2.487023093,1.375702127,2.150573349,2.143608783,1.340900241,1.470005476
"ENSRNOT00000021524(ensembl),-transcript",8.391409534,8.446949843,10.96737601,12.24273167,10.63515666,10.13529535,10.25264197,11.39859672,8.399998409,6.181630552,10.31023805,10.31445554,10.88551448,11.39171629,13.7560826,12.71169629,14.08038477,11.81374429,11.96054084,11.86987997,14.92849458,12.87211484,12.43679246,11.37511499
"NM_001134425(refseq),-transcript",5.236079831,4.456969825,7.968434159,6.303116391,6.134756554,7.684855999,7.115267631,7.962449647,4.839945328,3.524130949,6.370017131,8.266563635,17.89265103,21.15659462,20.6688417,22.65191559,21.20422752,18.87599065,24.62518632,25.29925547,27.0975283,29.7949253,25.85775171,23.1340318
"ENSRNOT00000046539(ensembl),-transcript",4.979947344,4.238948939,7.578643529,5.994787846,5.834663641,7.308937117,6.767211213,7.572951761,4.60319049,3.351741595,6.058416013,7.862189453,17.01739906,20.12168084,19.65778725,21.54385542,20.16698369,17.95263681,23.42059999,24.0616958,25.77200281,28.33745167,24.59287217,22.00238804
"ENSRNOT00000073460(ensembl),+transcript",1.254346151,1.329763083,1.648669398,1.660221917,1.729600917,1.0850803,1.635932126,1.271876199,1.092983639,0.854962963,1.300959381,0.995205051,1.399711346,1.156022362,1.813304907,1.801681592,1.541391201,0.890244244,2.196419293,1.160200395,1.939164521,1.893132275,1.16511836,1.277298875
"NM_024137(refseq),+transcript",9.281281199,8.376927708,8.983010213,8.74794171,8.481176319,9.891418117,11.15539681,10.11116495,6.902740601,7.007696738,10.97229736,9.521843501,6.984899591,6.987003362,7.008568736,7.106100568,6.655327076,7.383279542,6.870107491,7.508520689,7.634387554,7.252852974,5.959833174,7.077248699
"ENSRNOT00000014254(ensembl),-transcript",0.091194521,0,0,0,0,0,0,0,0,0,0,0,0,0.179684772,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000003628(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000030511(ensembl),-transcript",0.35509371,0.252844578,0.498356392,0.444762136,0.366578744,0.634830658,0.662613761,0.482187402,0.185648092,0.300119742,0.255740216,0.524023899,0.746843033,0.685664367,0.532369593,0.556118685,0.697389844,0.625009233,0.721271575,0.407267985,0.44555542,0.535928111,0.445082087,0.743018697
"NM_001025640(refseq)::::ENSRNOT00000064836(ensembl),-transcript",19.81712775,19.39897435,19.23175033,22.28192573,21.49763403,21.77695881,19.52531933,21.41597258,13.66439416,15.66523337,20.16796793,21.73555477,20.56575885,19.88633707,21.61836239,24.39222451,20.44993882,20.68720203,17.74468928,18.35728331,20.58578441,21.04146731,19.93878146,20.75393445
"ENSRNOT00000015131(ensembl),+transcript",9.512325858,8.585459738,9.206629829,8.965709621,8.692303474,10.13765129,11.43309499,10.36286842,7.074574782,7.182143656,11.24543753,9.758876626,7.158779007,7.160935148,7.183037362,7.282997114,6.821002239,7.567076076,7.041129315,7.695434928,7.824435074,7.433402719,6.108194978,7.253427018
"NM_012799(refseq),+transcript",0.271818508,0.319035901,0.131849233,0.125785065,0.062636187,0.208265412,0.040255567,0.09764727,0.135343448,0.058606332,0,0.119384477,0.026865427,0.191277337,0.189838666,0.119243665,0.164359814,0.213586825,0.06799529,0,0.067671724,0,0.032886405,0.035022711
"NM_001197092(refseq)::::ENSRNOT00000016102(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSRNOT00000072568(ensembl),-transcript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411729636,0,0,0,0,0,0,0
